127.0.0.1 - - [05/Feb/2026:05:27:49 +0000] "GET / HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:27:54 +0000] "GET /test.html HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:42:33 +0000] "GET / HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:42:48 +0000] "GET / HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:42:53 +0000] "GET /tes HTTP/1.1" 404
127.0.0.1 - - [05/Feb/2026:05:42:58 +0000] "GET /test.html HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:44:02 +0000] "GET /test.html HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:44:06 +0000] "GET / HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:45:39 +0000] "GET / HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:05:45:44 +0000] "GET /test.html HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:06:02:27 +0000] "HELLO /index.html" 400
127.0.0.1 - - [05/Feb/2026:06:04:06 +0000] "POST /index.html " 400
127.0.0.1 - - [05/Feb/2026:06:12:02 +0000] "GET / HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:06:12:07 +0000] "GET /hej HTTP/1.1" 404
127.0.0.1 - - [05/Feb/2026:06:14:33 +0000] "HELLO /index.html" 400
127.0.0.1 - - [05/Feb/2026:06:20:18 +0000] "GET / HTTP/1.1" 200
127.0.0.1 - - [05/Feb/2026:06:24:57 +0000] "GET / HTTP/1.1" 200
192.168.108.1 - - [10/Feb/2026:05:03:19 +0000] "GET /index.html HTTP/1.1" 200 126
192.168.108.1 - - [10/Feb/2026:05:03:20 +0000] "GET /favicon.ico HTTP/1.1" 404 228
192.168.108.1 - - [10/Feb/2026:05:03:34 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.1 - - [10/Feb/2026:05:03:53 +0000] "-" 400 248
192.168.108.128 - - [10/Feb/2026:05:03:55 +0000] "GET /index.html HTTP/1.1" 200 126
192.168.108.128 - - [10/Feb/2026:05:03:56 +0000] "GET /favicon.ico HTTP/1.1" 404 228
192.168.108.128 - - [10/Feb/2026:05:05:42 +0000] "GET /index.html HTTP/1.1" 200 126
192.168.108.128 - - [10/Feb/2026:05:05:54 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.128 - - [10/Feb/2026:05:06:16 +0000] "GET /tt.html HTTP/1.1" 404 228
192.168.108.1 - - [10/Feb/2026:05:13:43 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.1 - - [10/Feb/2026:05:17:43 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.128 - - [10/Feb/2026:05:20:48 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.1 - - [10/Feb/2026:05:22:38 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.1 - - [10/Feb/2026:05:23:38 +0000] "-" 400 248
192.168.108.1 - - [10/Feb/2026:05:29:29 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.1 - - [10/Feb/2026:05:34:09 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.1 - - [10/Feb/2026:05:39:06 +0000] "GET /test.html HTTP/1.1" 200 158
192.168.108.1 - - [10/Feb/2026:05:43:05 +0000] "GET / HTTP/1.1" 200 126
192.168.108.1 - - [10/Feb/2026:05:43:30 +0000] "GET /blabla.html HTTP/1.1" 404 228
192.168.108.1 - - [10/Feb/2026:05:55:25 +0000] "GET / HTTP/1.1" 200 126
192.168.108.1 - - [10/Feb/2026:05:58:02 +0000] "GET / HTTP/1.1" 200 126
192.168.108.1 - - [10/Feb/2026:06:03:12 +0000] "GET / HTTP/1.1" 200 126
192.168.108.1 - - [10/Feb/2026:06:07:48 ] "GET / HTTP/1.1" 200 126
